date,home_team,away_team,tournament,elo_diff,fifa_rank_diff,avg_goals_scored_last5,avg_goals_conceded_last5,form_points,wc_experience,is_neutral,h2h_win_rate,result
1990-01-12,Algeria,Mali,Friendly,0.0,-39.0,0.0,0.0,0.0,0.0,1,0.5,2
1990-01-14,Algeria,Cameroon,Friendly,10.0,8.0,5.0,0.0,0.0,0.0,1,0.5,2
1990-01-17,Greece,Belgium,Friendly,0.0,14.0,0.0,0.0,0.0,0.0,0,0.5,2
1990-01-17,Mexico,Argentina,Friendly,0.0,15.0,0.0,0.0,0.0,0.0,1,0.5,2
1990-01-20,Malawi,Tanzania,Friendly,0.0,-27.0,0.0,0.0,0.0,0.0,1,0.5,1
1990-01-20,Eswatini,Botswana,Friendly,0.0,-35.0,0.0,0.0,0.0,0.0,0,0.5,2
1990-01-21,Botswana,Malawi,Friendly,-10.0,86.0,-1.0,1.0,0.0,0.0,1,0.5,1
1990-01-21,Kuwait,France,Friendly,0.0,52.0,0.0,0.0,0.0,0.0,0,0.5,0
1990-01-21,Eswatini,Tanzania,Friendly,10.0,24.0,1.0,-1.0,0.0,0.0,0,0.5,0
1990-01-23,Botswana,Tanzania,Friendly,-20.0,59.0,0.0,1.5,0.0,0.0,1,0.5,1
1990-01-24,France,German DR,Friendly,10.0,-85.5,1.0,0.0,0.0,0.0,1,0.5,2
1990-01-24,Liberia,Senegal,Friendly,0.0,33.0,0.0,0.0,0.0,0.0,1,0.5,0
1990-01-25,Nigeria,Ivory Coast,Friendly,0.0,-91.5,0.0,0.0,0.0,0.0,0,0.5,2
1990-01-25,United Arab Emirates,Egypt,Friendly,0.0,38.0,0.0,0.0,0.0,0.0,0,0.5,0
1990-01-26,Kuwait,German DR,Friendly,-0.29,-33.5,0.0,-2.0,0.0,0.0,0,0.5,0
1990-01-27,Ivory Coast,Liberia,Friendly,0.0,20.5,0.0,1.0,0.0,0.0,1,0.5,2
1990-01-27,United Arab Emirates,Egypt,Friendly,-20.0,38.0,-1.0,1.0,0.0,0.0,0,0.5,2
1990-01-28,Nigeria,Senegal,Friendly,0.0,-38.0,1.0,0.0,0.0,0.0,0,0.5,1
1990-01-29,Thailand,Kenya,King's Cup,0.0,-1.0,0.0,0.0,0.0,0.0,0,0.5,2
1990-02-02,Colombia,Uruguay,Miami Cup,0.0,19.0,0.0,0.0,0.0,0.0,1,0.5,0
1990-02-02,Indonesia,Kenya,King's Cup,12.5,32.0,-1.0,-2.0,0.0,0.0,1,0.5,0
1990-02-02,Iran,Poland,Friendly,0.0,84.5,0.0,0.0,0.0,0.0,0,0.5,0
1990-02-02,United States,Costa Rica,Miami Cup,0.0,67.5,0.0,0.0,0.0,0.0,0,0.5,0
1990-02-04,Algeria,Romania,Friendly,19.71,19.0,4.0,0.5,0.0,0.0,0,0.5,1
1990-02-04,Costa Rica,Uruguay,Miami Cup,0.0,21.0,0.0,0.0,0.0,0.0,1,0.5,0
1990-02-04,Iran,Poland,Friendly,-20.0,84.5,-2.0,2.0,0.0,0.0,0,0.5,0
1990-02-04,South Korea,Norway,Malta International Tournament,0.0,90.5,0.0,0.0,0.0,0.0,1,0.5,0
1990-02-04,United States,Colombia,Miami Cup,0.0,69.5,0.0,0.0,0.0,0.0,0,0.5,1
1990-02-05,Thailand,Indonesia,King's Cup,25.45,-33.0,0.0,-2.0,3.0,0.0,0,0.5,1
1990-02-05,United Arab Emirates,Denmark,Friendly,0.58,50.0,1.0,1.0,0.0,0.0,0,0.5,1
1990-02-07,Malta,Norway,Malta International Tournament,-12.5,59.0,-3.0,-2.0,-3.0,0.0,0,0.5,1
1990-02-10,Malta,South Korea,Malta International Tournament,12.95,-31.5,-1.0,-2.0,1.0,0.0,0,0.5,0
1990-02-10,Uganda,Mauritius,Friendly,0.0,-20.0,0.0,0.0,0.0,0.0,0,0.5,2
1990-02-11,Kuwait,Poland,Friendly,-39.42,51.0,-1.0,1.5,0.0,0.0,1,0.5,1
1990-02-11,Togo,Cameroon,Friendly,9.71,79.0,-1.0,-3.0,0.0,0.0,0,0.5,1
1990-02-12,United Arab Emirates,Finland,Friendly,0.56,15.0,1.0,1.0,0.0,0.0,0,0.5,1
1990-02-13,Bermuda,United States,Friendly,12.5,-46.5,-0.5,-1.5,-1.0,0.0,0,0.5,0
1990-02-14,Egypt,Denmark,Friendly,-0.59,12.0,0.0,0.0,0.0,0.0,0,0.5,1
1990-02-14,United Arab Emirates,Sweden,Friendly,0.54,55.0,1.0,1.0,0.0,0.0,0,0.5,2
1990-02-15,Iraq,South Korea,Friendly,-0.47,-22.5,-2.0,-2.0,-3.0,0.0,0,0.5,1
1990-02-15,Kuwait,Finland,Friendly,-18.88,27.0,-0.3333,0.3333,0.0,0.0,0,0.5,0
1990-02-17,United Arab Emirates,Sweden,Friendly,20.51,55.0,0.2,-1.0,0.0,0.0,0,0.5,0
1990-02-18,Egypt,South Korea,Friendly,-1.01,-83.5,-0.6667,-0.6667,-3.0,0.0,0,0.5,1
1990-02-20,Colombia,Russia,Marlboro Cup,-12.5,27.0,0.5,1.5,1.0,0.0,1,0.5,1
1990-02-21,Spain,Czechoslovakia,Friendly,0.0,-3.0,0.0,0.0,0.0,0.0,0,0.5,2
1990-02-21,Netherlands,Italy,Friendly,0.0,5.0,0.0,0.0,0.0,0.0,0,0.5,1
1990-02-21,Morocco,Ivory Coast,Friendly,0.0,-63.5,-0.5,-1.0,0.0,0.0,0,0.5,2
1990-02-21,Kuwait,Bahrain,Gulf Cup,-28.32,-17.0,0.5,1.25,0.0,0.0,0,0.5,2
1990-02-21,Gambia,Guinea-Bissau,Friendly,0.0,-12.5,0.0,0.0,0.0,0.0,0,0.5,0
